block,onset,cond,task,img
1,0,0,0,blank
1,0.5,0,0,blank
1,1,0,0,blank
1,1.5,0,0,blank
1,2,0,0,blank
1,2.5,0,0,blank
1,3,0,0,blank
1,3.5,0,0,blank
2,4,2,0,limb-36.jpg
2,4.5,2,0,limb-70.jpg
2,5,2,0,limb-66.jpg
2,5.5,2,0,limb-79.jpg
2,6,2,0,limb-3.jpg
2,6.5,2,0,limb-105.jpg
2,7,2,0,limb-100.jpg
2,7.5,2,0,limb-22.jpg
3,8,0,0,blank
3,8.5,0,0,blank
3,9,0,0,blank
3,9.5,0,0,blank
3,10,0,0,blank
3,10.5,0,0,blank
3,11,0,0,blank
3,11.5,0,0,blank
4,12,1,0,body-76.jpg
4,12.5,1,0,body-64.jpg
4,13,1,0,body-130.jpg
4,13.5,1,0,body-3.jpg
4,14,1,0,body-120.jpg
4,14.5,1,0,body-131.jpg
4,15,1,0,body-26.jpg
4,15.5,1,0,body-95.jpg
5,16,6,0,house-81.jpg
5,16.5,6,0,house-86.jpg
5,17,6,0,house-99.jpg
5,17.5,6,0,house-23.jpg
5,18,6,0,house-30.jpg
5,18.5,6,0,house-8.jpg
5,19,6,0,house-137.jpg
5,19.5,6,0,house-138.jpg
6,20,5,0,corridor-138.jpg
6,20.5,5,0,corridor-44.jpg
6,21,5,0,corridor-12.jpg
6,21.5,5,0,corridor-142.jpg
6,22,5,0,corridor-38.jpg
6,22.5,5,1,corridor-38.jpg
6,23,5,0,corridor-70.jpg
6,23.5,5,0,corridor-77.jpg
7,24,4,0,child-17.jpg
7,24.5,4,0,child-126.jpg
7,25,4,0,child-32.jpg
7,25.5,4,0,child-8.jpg
7,26,4,0,child-135.jpg
7,26.5,4,0,child-84.jpg
7,27,4,0,child-25.jpg
7,27.5,4,0,child-43.jpg
8,28,3,0,adult-86.jpg
8,28.5,3,0,adult-138.jpg
8,29,3,0,adult-17.jpg
8,29.5,3,1,adult-17.jpg
8,30,3,0,adult-38.jpg
8,30.5,3,0,adult-88.jpg
8,31,3,0,adult-1.jpg
8,31.5,3,0,adult-43.jpg
9,32,2,0,limb-64.jpg
9,32.5,2,0,limb-139.jpg
9,33,2,0,limb-116.jpg
9,33.5,2,0,limb-73.jpg
9,34,2,1,limb-73.jpg
9,34.5,2,0,limb-59.jpg
9,35,2,0,limb-124.jpg
9,35.5,2,0,limb-71.jpg
10,36,4,0,child-80.jpg
10,36.5,4,0,child-71.jpg
10,37,4,0,child-104.jpg
10,37.5,4,0,child-114.jpg
10,38,4,0,child-2.jpg
10,38.5,4,0,child-119.jpg
10,39,4,0,child-1.jpg
10,39.5,4,0,child-61.jpg
11,40,0,0,blank
11,40.5,0,0,blank
11,41,0,0,blank
11,41.5,0,0,blank
11,42,0,0,blank
11,42.5,0,0,blank
11,43,0,0,blank
11,43.5,0,0,blank
12,44,1,0,body-103.jpg
12,44.5,1,0,body-55.jpg
12,45,1,0,body-39.jpg
12,45.5,1,1,body-39.jpg
12,46,1,0,body-102.jpg
12,46.5,1,0,body-84.jpg
12,47,1,0,body-33.jpg
12,47.5,1,0,body-114.jpg
13,48,3,0,adult-114.jpg
13,48.5,3,0,adult-77.jpg
13,49,3,0,adult-142.jpg
13,49.5,3,0,adult-103.jpg
13,50,3,0,adult-117.jpg
13,50.5,3,0,adult-8.jpg
13,51,3,0,adult-67.jpg
13,51.5,3,0,adult-14.jpg
14,52,4,0,child-62.jpg
14,52.5,4,0,child-54.jpg
14,53,4,0,child-131.jpg
14,53.5,4,1,child-131.jpg
14,54,4,0,child-137.jpg
14,54.5,4,0,child-78.jpg
14,55,4,0,child-19.jpg
14,55.5,4,0,child-28.jpg
15,56,6,0,house-27.jpg
15,56.5,6,0,house-61.jpg
15,57,6,0,house-122.jpg
15,57.5,6,0,house-136.jpg
15,58,6,0,house-40.jpg
15,58.5,6,0,house-128.jpg
15,59,6,0,house-113.jpg
15,59.5,6,0,house-120.jpg
16,60,0,0,blank
16,60.5,0,0,blank
16,61,0,0,blank
16,61.5,0,0,blank
16,62,0,0,blank
16,62.5,0,0,blank
16,63,0,0,blank
16,63.5,0,0,blank
17,64,0,0,blank
17,64.5,0,0,blank
17,65,0,0,blank
17,65.5,0,0,blank
17,66,0,0,blank
17,66.5,0,0,blank
17,67,0,0,blank
17,67.5,0,0,blank
18,68,0,0,blank
18,68.5,0,0,blank
18,69,0,0,blank
18,69.5,0,0,blank
18,70,0,0,blank
18,70.5,0,0,blank
18,71,0,0,blank
18,71.5,0,0,blank
19,72,3,0,adult-128.jpg
19,72.5,3,0,adult-87.jpg
19,73,3,0,adult-141.jpg
19,73.5,3,0,adult-70.jpg
19,74,3,0,adult-32.jpg
19,74.5,3,0,adult-110.jpg
19,75,3,0,adult-40.jpg
19,75.5,3,0,adult-79.jpg
20,76,0,0,blank
20,76.5,0,0,blank
20,77,0,0,blank
20,77.5,0,0,blank
20,78,0,0,blank
20,78.5,0,0,blank
20,79,0,0,blank
20,79.5,0,0,blank
21,80,5,0,corridor-46.jpg
21,80.5,5,0,corridor-71.jpg
21,81,5,0,corridor-107.jpg
21,81.5,5,0,corridor-1.jpg
21,82,5,0,corridor-51.jpg
21,82.5,5,0,corridor-56.jpg
21,83,5,0,corridor-29.jpg
21,83.5,5,0,corridor-11.jpg
22,84,4,0,child-85.jpg
22,84.5,4,0,child-64.jpg
22,85,4,0,child-4.jpg
22,85.5,4,0,child-22.jpg
22,86,4,0,child-66.jpg
22,86.5,4,0,child-27.jpg
22,87,4,0,child-59.jpg
22,87.5,4,0,child-109.jpg
23,88,6,0,house-51.jpg
23,88.5,6,0,house-139.jpg
23,89,6,0,house-94.jpg
23,89.5,6,0,house-20.jpg
23,90,6,0,house-26.jpg
23,90.5,6,1,house-26.jpg
23,91,6,0,house-53.jpg
23,91.5,6,0,house-19.jpg
24,92,5,0,corridor-132.jpg
24,92.5,5,0,corridor-104.jpg
24,93,5,0,corridor-23.jpg
24,93.5,5,0,corridor-69.jpg
24,94,5,0,corridor-9.jpg
24,94.5,5,0,corridor-139.jpg
24,95,5,0,corridor-61.jpg
24,95.5,5,0,corridor-65.jpg
25,96,2,0,limb-108.jpg
25,96.5,2,0,limb-82.jpg
25,97,2,0,limb-40.jpg
25,97.5,2,0,limb-17.jpg
25,98,2,0,limb-74.jpg
25,98.5,2,0,limb-61.jpg
25,99,2,0,limb-125.jpg
25,99.5,2,0,limb-1.jpg
26,100,6,0,house-22.jpg
26,100.5,6,0,house-132.jpg
26,101,6,0,house-107.jpg
26,101.5,6,0,house-52.jpg
26,102,6,0,house-47.jpg
26,102.5,6,0,house-105.jpg
26,103,6,0,house-65.jpg
26,103.5,6,0,house-50.jpg
27,104,0,0,blank
27,104.5,0,0,blank
27,105,0,0,blank
27,105.5,0,0,blank
27,106,0,0,blank
27,106.5,0,0,blank
27,107,0,0,blank
27,107.5,0,0,blank
28,108,5,0,corridor-60.jpg
28,108.5,5,0,corridor-57.jpg
28,109,5,0,corridor-62.jpg
28,109.5,5,0,corridor-89.jpg
28,110,5,0,corridor-67.jpg
28,110.5,5,0,corridor-137.jpg
28,111,5,0,corridor-135.jpg
28,111.5,5,0,corridor-100.jpg
29,112,1,0,body-52.jpg
29,112.5,1,0,body-132.jpg
29,113,1,0,body-28.jpg
29,113.5,1,0,body-99.jpg
29,114,1,0,body-104.jpg
29,114.5,1,0,body-136.jpg
29,115,1,0,body-83.jpg
29,115.5,1,0,body-56.jpg
30,116,2,0,limb-4.jpg
30,116.5,2,0,limb-81.jpg
30,117,2,0,limb-53.jpg
30,117.5,2,0,limb-29.jpg
30,118,2,0,limb-83.jpg
30,118.5,2,0,limb-75.jpg
30,119,2,0,limb-49.jpg
30,119.5,2,0,limb-58.jpg
31,120,0,0,blank
31,120.5,0,0,blank
31,121,0,0,blank
31,121.5,0,0,blank
31,122,0,0,blank
31,122.5,0,0,blank
31,123,0,0,blank
31,123.5,0,0,blank
32,124,3,0,adult-59.jpg
32,124.5,3,0,adult-30.jpg
32,125,3,0,adult-73.jpg
32,125.5,3,0,adult-2.jpg
32,126,3,0,adult-83.jpg
32,126.5,3,0,adult-81.jpg
32,127,3,0,adult-96.jpg
32,127.5,3,0,adult-90.jpg
33,128,1,0,body-72.jpg
33,128.5,1,0,body-142.jpg
33,129,1,0,body-78.jpg
33,129.5,1,0,body-134.jpg
33,130,1,0,body-21.jpg
33,130.5,1,0,body-77.jpg
33,131,1,0,body-65.jpg
33,131.5,1,0,body-12.jpg
34,132,0,0,blank
34,132.5,0,0,blank
34,133,0,0,blank
34,133.5,0,0,blank
34,134,0,0,blank
34,134.5,0,0,blank
34,135,0,0,blank
34,135.5,0,0,blank
35,136,0,0,blank
35,136.5,0,0,blank
35,137,0,0,blank
35,137.5,0,0,blank
35,138,0,0,blank
35,138.5,0,0,blank
35,139,0,0,blank
35,139.5,0,0,blank
